company,inn,title,description,requirements,age_days,posts_per_day,ip_blacklisted,complaints,label
ПАО Сбербанк,9297327025,Аналитик данных,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",674,3,0,0,0
ПАО Ростелеком,7205015089,Технический писатель,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",651,1,0,0,0
ООО Skillbox,7969155792,Backend-разработчик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Портфолио, опыт коммерческой разработки, знание Git.",886,5,0,0,0
ООО Skillbox,3163761825,Бизнес-аналитик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт от 3 лет, профильное образование, знание английского.",3156,0,0,0,0
ПАО Ростелеком,7360576628,Менеджер проектов,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2208,0,0,0,0
ООО КРОК,3437654560,Аналитик данных,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт от 3 лет, профильное образование, знание английского.",926,4,0,0,0
ПАО Сбербанк,1375482146,Менеджер проектов,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",1705,5,0,0,0
ООО Деньги Сразу,1858749511,Набор менеджеров без опыта,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!",Срочно! Наличие свободного времени.,36,15,1,3,1
ИП Сидоров,5236428131,Срочно! Набор сотрудников,"Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.",Никаких навыков не требуется!,55,15,1,2,1
ПАО Сбербанк,5999393303,Frontend-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт от 3 лет, профильное образование, знание английского.",1651,0,0,0,0
ООО Skillbox,1090255901,Системный администратор,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Портфолио, опыт коммерческой разработки, знание Git.",3314,5,0,0,0
ООО Деньги Сразу,3206732318,Заработок из дома 100000 руб/день,"Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.","Возраст от 18 лет, наличие телефона.",9,49,1,3,1
ООО 1С,9266570277,Аналитик данных,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2597,5,0,0,0
ПАО Газпром,8231843228,Python-разработчик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",824,2,0,0,0
ООО Тинькофф,6107991186,Product Manager,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",1053,4,0,0,0
ООО МТС,7792988428,Data Scientist,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт администрирования Linux, знание сетей, ответственность.",3038,2,0,0,0
ООО Работа Мечты,1081867023,"Свободный график, оплата сразу",Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Никаких навыков не требуется!,18,29,0,5,1
ООО Тинькофф,5858333943,Data Scientist,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2992,2,0,0,0
ООО Золотая Жила,4263890219,Срочно! Набор сотрудников,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!",Срочно! Наличие свободного времени.,47,49,1,9,1
ООО Тинькофф,2332288989,Product Manager,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт от 3 лет, профильное образование, знание английского.",3328,2,0,0,0
АО Лаборатория Касперского,4930870594,Python-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт от 3 лет, профильное образование, знание английского.",1005,1,0,0,0
ООО КРОК,1297021353,Системный администратор,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1663,3,0,0,0
ПАО Газпром,4337363464,Data Scientist,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт от 3 лет, профильное образование, знание английского.",1724,4,0,0,0
ПАО Газпром,3784699739,Product Manager,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1022,5,0,0,0
ООО КРОК,4990767697,Аналитик данных,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт администрирования Linux, знание сетей, ответственность.",2716,0,0,0,0
